message_type	message	enc_class	enc_member	offset	path	target_kind	target_class	target_method	target_param	target_index	target_path
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	com.squareup.picasso3.Action	Action(com.squareup.picasso3.Picasso,com.squareup.picasso3.Target,com.squareup.picasso3.Request)	1015	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/Action.java	FIELD	com.squareup.picasso3.Action	null	wrapper	null	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/Action.java
RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	com.squareup.picasso3.Action	getPriority()	1519	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/Action.java	METHOD	com.squareup.picasso3.Action	getPriority()	null	null	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/Action.java
PASS_NULLABLE	passing @Nullable parameter 'uri' where @NonNull is required	com.squareup.picasso3.Picasso	complete(com.squareup.picasso3.BitmapHunter)	19400	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/Picasso.java	PARAMETER	com.squareup.picasso3.Picasso$Listener	onImageLoadFailed(com.squareup.picasso3.Picasso,android.net.Uri,java.lang.Exception)	uri	1	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/Picasso.java
PASS_NULLABLE	passing @Nullable parameter 'null' where @NonNull is required	com.squareup.picasso3.Picasso	resumeAction(com.squareup.picasso3.Action)	19741	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/Picasso.java	PARAMETER	com.squareup.picasso3.Picasso	deliverAction(com.squareup.picasso3.RequestHandler.Result,com.squareup.picasso3.Action,java.lang.Exception)	e	2	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/Picasso.java
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	com.squareup.picasso3.RequestHandler	createBitmapOptions(com.squareup.picasso3.Request)	5587	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/RequestHandler.java	FIELD	android.graphics.BitmapFactory$Options	null	inPreferredConfig	null	null
RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	com.squareup.picasso3.RequestHandler	createBitmapOptions(com.squareup.picasso3.Request)	5646	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/RequestHandler.java	METHOD	com.squareup.picasso3.RequestHandler	createBitmapOptions(com.squareup.picasso3.Request)	null	null	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/RequestHandler.java
METHOD_NO_INIT	initializer method does not guarantee @NonNull fields actions (line 76), result (line 77), exception (line 79) are initialized along all control-flow paths (remember to check for exceptions or early returns).	com.squareup.picasso3.BitmapHunter	BitmapHunter(com.squareup.picasso3.Picasso,com.squareup.picasso3.Dispatcher,com.squareup.picasso3.PlatformLruCache,com.squareup.picasso3.Stats,com.squareup.picasso3.Action,com.squareup.picasso3.RequestHandler)	2975	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/BitmapHunter.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression result is @Nullable	com.squareup.picasso3.BitmapHunter	hunt()	6444	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/BitmapHunter.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression result is @Nullable	com.squareup.picasso3.BitmapHunter	hunt()	7016	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/BitmapHunter.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression bitmap is @Nullable	com.squareup.picasso3.BitmapHunter	applyTransformations(com.squareup.picasso3.Picasso,com.squareup.picasso3.Request,java.util.List,com.squareup.picasso3.RequestHandler.Result)	12895	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/BitmapHunter.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression bitmap is @Nullable	com.squareup.picasso3.BitmapHunter	applyTransformations(com.squareup.picasso3.Picasso,com.squareup.picasso3.Request,java.util.List,com.squareup.picasso3.RequestHandler.Result)	13398	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/BitmapHunter.java	null	null	null	null	null	null
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	com.squareup.picasso3.RequestCreator	RequestCreator()	3282	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/RequestCreator.java	FIELD	com.squareup.picasso3.RequestCreator	null	picasso	null	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/RequestCreator.java
DEREFERENCE_NULLABLE	dereferenced expression uri is @Nullable	com.squareup.picasso3.ContactsPhotoRequestHandler	canHandleRequest(com.squareup.picasso3.Request)	2614	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/ContactsPhotoRequestHandler.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression uri is @Nullable	com.squareup.picasso3.AssetRequestHandler	canHandleRequest(com.squareup.picasso3.Request)	1594	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/AssetRequestHandler.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression request.uri is @Nullable	com.squareup.picasso3.AssetRequestHandler	getFilePath(com.squareup.picasso3.Request)	2554	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/AssetRequestHandler.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression data.uri is @Nullable	com.squareup.picasso3.FileRequestHandler	canHandleRequest(com.squareup.picasso3.Request)	1319	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/FileRequestHandler.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression request.uri is @Nullable	com.squareup.picasso3.FileRequestHandler	getExifOrientation(com.squareup.picasso3.Request)	1996	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/FileRequestHandler.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression data.uri is @Nullable	com.squareup.picasso3.ContentStreamRequestHandler	canHandleRequest(com.squareup.picasso3.Request)	1531	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/ContentStreamRequestHandler.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression data.uri is @Nullable	com.squareup.picasso3.NetworkRequestHandler	canHandleRequest(com.squareup.picasso3.Request)	1492	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/NetworkRequestHandler.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression request.uri is @Nullable	com.squareup.picasso3.NetworkRequestHandler	createRequest(com.squareup.picasso3.Request)	4282	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/NetworkRequestHandler.java	null	null	null	null	null	null
