REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
com.squareup.picasso3.DeferredRequestCreator	DeferredRequestCreator(com.squareup.picasso3.RequestCreator,android.widget.ImageView,com.squareup.picasso3.Callback)	creator	com.squareup.picasso3.DeferredRequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	DeferredRequestCreator(com.squareup.picasso3.RequestCreator,android.widget.ImageView,com.squareup.picasso3.Callback)	this	com.squareup.picasso3.DeferredRequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	DeferredRequestCreator(com.squareup.picasso3.RequestCreator,android.widget.ImageView,com.squareup.picasso3.Callback)	target	com.squareup.picasso3.DeferredRequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	DeferredRequestCreator(com.squareup.picasso3.RequestCreator,android.widget.ImageView,com.squareup.picasso3.Callback)	this	com.squareup.picasso3.DeferredRequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	DeferredRequestCreator(com.squareup.picasso3.RequestCreator,android.widget.ImageView,com.squareup.picasso3.Callback)	callback	com.squareup.picasso3.DeferredRequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	DeferredRequestCreator(com.squareup.picasso3.RequestCreator,android.widget.ImageView,com.squareup.picasso3.Callback)	this	com.squareup.picasso3.DeferredRequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	DeferredRequestCreator(com.squareup.picasso3.RequestCreator,android.widget.ImageView,com.squareup.picasso3.Callback)	this	com.squareup.picasso3.DeferredRequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	onViewAttachedToWindow(android.view.View)	this	com.squareup.picasso3.DeferredRequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	onViewDetachedFromWindow(android.view.View)	this	com.squareup.picasso3.DeferredRequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	onPreDraw()	target	com.squareup.picasso3.DeferredRequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	onPreDraw()	target	com.squareup.picasso3.DeferredRequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	onPreDraw()	this	com.squareup.picasso3.DeferredRequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	onPreDraw()	this	com.squareup.picasso3.DeferredRequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	onPreDraw()	this	com.squareup.picasso3.DeferredRequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	onPreDraw()	creator	com.squareup.picasso3.DeferredRequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	onPreDraw()	this	com.squareup.picasso3.DeferredRequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	onPreDraw()	callback	com.squareup.picasso3.DeferredRequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	cancel()	creator	com.squareup.picasso3.DeferredRequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	cancel()	callback	com.squareup.picasso3.DeferredRequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	cancel()	target	com.squareup.picasso3.DeferredRequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	cancel()	this	com.squareup.picasso3.DeferredRequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	cancel()	target	com.squareup.picasso3.DeferredRequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	cancel()	this	com.squareup.picasso3.DeferredRequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	getTag()	creator	com.squareup.picasso3.DeferredRequestCreator	SOURCE
com.squareup.picasso3.RemoteViewsAction	RemoteViewsAction(com.squareup.picasso3.Picasso,com.squareup.picasso3.Request,com.squareup.picasso3.Target,com.squareup.picasso3.Callback)	remoteWrapper	com.squareup.picasso3.RemoteViewsAction	SOURCE
com.squareup.picasso3.RemoteViewsAction	RemoteViewsAction(com.squareup.picasso3.Picasso,com.squareup.picasso3.Request,com.squareup.picasso3.Target,com.squareup.picasso3.Callback)	this	com.squareup.picasso3.RemoteViewsAction	SOURCE
com.squareup.picasso3.RemoteViewsAction	RemoteViewsAction(com.squareup.picasso3.Picasso,com.squareup.picasso3.Request,com.squareup.picasso3.Target,com.squareup.picasso3.Callback)	callback	com.squareup.picasso3.RemoteViewsAction	SOURCE
com.squareup.picasso3.RemoteViewsAction	RemoteViewsAction(com.squareup.picasso3.Picasso,com.squareup.picasso3.Request,com.squareup.picasso3.Target,com.squareup.picasso3.Callback)	this	com.squareup.picasso3.RemoteViewsAction	SOURCE
com.squareup.picasso3.RemoteViewsAction	complete(com.squareup.picasso3.RequestHandler.Result)	target	com.squareup.picasso3.Target	SOURCE
com.squareup.picasso3.RemoteViewsAction	complete(com.squareup.picasso3.RequestHandler.Result)	target	com.squareup.picasso3.Target	SOURCE
com.squareup.picasso3.RemoteViewsAction	complete(com.squareup.picasso3.RequestHandler.Result)	remoteWrapper	com.squareup.picasso3.RemoteViewsAction	SOURCE
com.squareup.picasso3.RemoteViewsAction	complete(com.squareup.picasso3.RequestHandler.Result)	remoteViews	com.squareup.picasso3.RemoteViewsAction$RemoteViewsTarget	SOURCE
com.squareup.picasso3.RemoteViewsAction	complete(com.squareup.picasso3.RequestHandler.Result)	viewId	com.squareup.picasso3.RemoteViewsAction$RemoteViewsTarget	SOURCE
com.squareup.picasso3.RemoteViewsAction	complete(com.squareup.picasso3.RequestHandler.Result)	callback	com.squareup.picasso3.RemoteViewsAction	SOURCE
com.squareup.picasso3.RemoteViewsAction	complete(com.squareup.picasso3.RequestHandler.Result)	callback	com.squareup.picasso3.RemoteViewsAction	SOURCE
com.squareup.picasso3.RemoteViewsAction	cancel()	super	com.squareup.picasso3.RemoteViewsAction	SOURCE
com.squareup.picasso3.RemoteViewsAction	cancel()	callback	com.squareup.picasso3.RemoteViewsAction	SOURCE
com.squareup.picasso3.RemoteViewsAction	cancel()	callback	com.squareup.picasso3.RemoteViewsAction	SOURCE
com.squareup.picasso3.RemoteViewsAction	error(java.lang.Exception)	errorResId	com.squareup.picasso3.Target	SOURCE
com.squareup.picasso3.RemoteViewsAction	error(java.lang.Exception)	remoteWrapper	com.squareup.picasso3.RemoteViewsAction	SOURCE
com.squareup.picasso3.RemoteViewsAction	error(java.lang.Exception)	errorResId	com.squareup.picasso3.Target	SOURCE
com.squareup.picasso3.RemoteViewsAction	error(java.lang.Exception)	remoteWrapper	com.squareup.picasso3.RemoteViewsAction	SOURCE
com.squareup.picasso3.RemoteViewsAction	error(java.lang.Exception)	callback	com.squareup.picasso3.RemoteViewsAction	SOURCE
com.squareup.picasso3.RemoteViewsAction	error(java.lang.Exception)	callback	com.squareup.picasso3.RemoteViewsAction	SOURCE
com.squareup.picasso3.RemoteViewsAction	getTarget()	target	com.squareup.picasso3.Target	SOURCE
com.squareup.picasso3.RemoteViewsAction	getTarget()	remoteWrapper	com.squareup.picasso3.RemoteViewsAction	SOURCE
com.squareup.picasso3.RemoteViewsAction	setImageResource(int)	target	com.squareup.picasso3.Target	SOURCE
com.squareup.picasso3.RemoteViewsAction	setImageResource(int)	target	com.squareup.picasso3.Target	SOURCE
