REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
com.squareup.picasso3.DeferredRequestCreator	DeferredRequestCreator(com.squareup.picasso3.RequestCreator,android.widget.ImageView,com.squareup.picasso3.Callback)	Object()	java.lang.Object	SOURCE
com.squareup.picasso3.DeferredRequestCreator	DeferredRequestCreator(com.squareup.picasso3.RequestCreator,android.widget.ImageView,com.squareup.picasso3.Callback)	addOnAttachStateChangeListener(android.view.View.OnAttachStateChangeListener)	android.view.View	SOURCE
com.squareup.picasso3.DeferredRequestCreator	DeferredRequestCreator(com.squareup.picasso3.RequestCreator,android.widget.ImageView,com.squareup.picasso3.Callback)	getWindowToken()	android.view.View	SOURCE
com.squareup.picasso3.DeferredRequestCreator	DeferredRequestCreator(com.squareup.picasso3.RequestCreator,android.widget.ImageView,com.squareup.picasso3.Callback)	onViewAttachedToWindow(android.view.View)	com.squareup.picasso3.DeferredRequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	onViewAttachedToWindow(android.view.View)	addOnPreDrawListener(android.view.ViewTreeObserver.OnPreDrawListener)	android.view.ViewTreeObserver	SOURCE
com.squareup.picasso3.DeferredRequestCreator	onViewAttachedToWindow(android.view.View)	getViewTreeObserver()	android.view.View	SOURCE
com.squareup.picasso3.DeferredRequestCreator	onViewDetachedFromWindow(android.view.View)	removeOnPreDrawListener(android.view.ViewTreeObserver.OnPreDrawListener)	android.view.ViewTreeObserver	SOURCE
com.squareup.picasso3.DeferredRequestCreator	onViewDetachedFromWindow(android.view.View)	getViewTreeObserver()	android.view.View	SOURCE
com.squareup.picasso3.DeferredRequestCreator	onPreDraw()	getViewTreeObserver()	android.view.View	SOURCE
com.squareup.picasso3.DeferredRequestCreator	onPreDraw()	isAlive()	android.view.ViewTreeObserver	SOURCE
com.squareup.picasso3.DeferredRequestCreator	onPreDraw()	getWidth()	android.view.View	SOURCE
com.squareup.picasso3.DeferredRequestCreator	onPreDraw()	getHeight()	android.view.View	SOURCE
com.squareup.picasso3.DeferredRequestCreator	onPreDraw()	removeOnAttachStateChangeListener(android.view.View.OnAttachStateChangeListener)	android.view.View	SOURCE
com.squareup.picasso3.DeferredRequestCreator	onPreDraw()	removeOnPreDrawListener(android.view.ViewTreeObserver.OnPreDrawListener)	android.view.ViewTreeObserver	SOURCE
com.squareup.picasso3.DeferredRequestCreator	onPreDraw()	into(android.widget.ImageView,com.squareup.picasso3.Callback)	com.squareup.picasso3.RequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	onPreDraw()	resize(int,int)	com.squareup.picasso3.RequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	onPreDraw()	unfit()	com.squareup.picasso3.RequestCreator	SOURCE
com.squareup.picasso3.DeferredRequestCreator	cancel()	clearTag()	com.squareup.picasso3.RequestCreator	SOURCE
